brand_name,p_category,p_id,p_num_reviews,p_price,p_star,product,r_eyecolor,r_haircolor,r_review,r_skinconcerns,r_skintone,r_skintype,r_star,reviewer
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,black,"I was first unsure about this foundation. But I went for it and WOW!. Full coverage,light weight, i notice just a lil shine but  it didn't move around . Set. Worth the money. Glad I tried it",acne,ebony,combination,5,blessedchyld
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,black,"This foundation is absolutely my favorite and is worth spending the money for it. In my opinion, the coverage is medium and it looks very natural as well as not being too matte. Definitely will keep using this forever.",dullness,dark,combination,5,shayla4338
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,blue,auburn,"I love this foundation. I believe that it is a great everyday foundation for people who's skin is already fairly clear or wanting a natural look as this unfortunately is in no way a full coverage foundation. The coverage is more a fuller light to fuller medium coverage ( Depending on application method). It evens out the skin and does not cake. The matte is not the flat matte of yesterday which is great its more of an up to date velvet finish and this product does keep my combination skin at bay as I do not get oily fast(I do still set with powder as I powder everything even tinted moisturizer :P),  but I am not sure how well the finish will hold up for oily skinned people. I found that this foundation does not crease or make me break out either which is huge as I breakout to basically every foundation known to man kind, even those claiming to be hypoallergenic. This foundation does have that signature lavender smell however, it does settle down after a bit and it does not irritate my skin. This foundation is also very breathable it does not feel as though I am wearing a mask. This foundation could have the potential to cling to dry patches but if you use a hydrating primer/ moisturizer whether that be a liquid or spray you should be fine. As far as the shade goes , this shade warm ivory I find flatters many skin tones in the light range however even though it says ivory do not mistake this color for being very pale, as I originally thought it was until I swatched it myself in store. I would not recommend this color for women with quite fair skin but more for women with light skin maybe even light to medium. Oh and it blends out smoothly and I also enjoy the texture it's not too runny or too thick. I would recommend giving this a go for all of you ladies and men out there with combination, sensitive or if you just want a nice natural looking foundation for the skin, and I hope that you will not be disappointed.:)",darkCircles,light,combination,5,Fuberry
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,black,It glides on and is absolutely beautiful on the skin. Very happy I bought this.,darkCircles,dark,combination,5,Glammomming
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,brunette,"I've been using Bobbi Brown for a long time (a little over 10 years now). And of all the oil free long wear foundations the brand has came out with this is by far my favorite! I definitely wouldn't call this full coverage by any means. For Bobbi this is about as full coverage as you're going to get. It takes at least two applications to get ""full coverage"". It wears very well and lasts all day (about 8-10 hours). I have combination to oily skin with my nose being the worst and this still holds up without breaking down. I do have to powder around 4 hours and again at 8. But for my skin that's expected. I also use the vitamin enriched face base moisturizer underneath. The shade range is going to be slightly different than what you'd normally wear from Bobbi, for example I usually use Sand in Bobbi's foundations but I had to go to Cool Sand with this. Sand looked pasty. It's a very pretty foundation. I also recommend using the full coverage concealer along with it. Absolute perfection!!! Xoxo",aging,fair,combination,5,freakingclassy
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,green,red,"Love this so far. Doesn't set into my smile lines like some other foundations. Has a distinct sunscreen smell which i was a little surprised with at first, although it's nice to know that my skin is protected. As full coverage as Bobbi will get, more a natural full than a true full coverage.",acne,porcelain,combination,4,gigiguy
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,black,"I’ve never tried Bobbi Brown before but after wearing this all week I’m definitely a fan.  The shade match is PERFECT.  I struggle with finding shades that don’t make me orange and this one is great.  It’s a beautiful matte finish with out making the skin look flat.  It doesn’t break down in my T-zone like most foundations do. Also, it doesn’t oxidize.  The color I started my day with is the color I ended my day with.  Over all I’m very pleased with this foundation and would highly recommend.  
My shade is warm almond.",acne,dark,oily,5,tiesha
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,black,"I have extremely sensitive skin.  Everything makes me break out so many things I can't wear.  But THIS is awesome!  Doesn't break me out,  color match is SPOT ON.  Looks like matte skin. But not drying.  My coworker asked me today what I did difference to my face because she said it looks much softer and glowy.  I told her BOBBI did it! I love this so much!",dullness,deep,combination,5,DomiVer
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,hazel,brunette,"So I've been searching for a foundation forever and I just could not find anything for the longest time. I am an oily, acne-prone skin girl and no foundation that was matte ever sat on my skin right or was the right color. I got ColorIQ matched at a Sephora and after a few tries this was the one that worked. It looks just amazing on the skin!! Matte but not drying, smells great, and does not break me out. It also controls oil for a hugely long time. I was iffy about buying because of the price, and instead went with the Fenty beauty foundation thinking it would give me the same coverage and finish. There was no comparison!!! I returned it right away and just took the plunge with this. Honestly the best foundation out there right now. Holds up after an 8 hour working shift (moving) and just looks amazing on the skin. I've gotten so many compliments since I've been wearing it. I also like that I can increase coverage depending on my need and it still looks fabulous. I never ever write reviews but I had to because of how awesome this is!!!",acne,fair,combination,5,madicat
Bobbi Brown,Makeup,P427430,109,$46.00,3.9908,Skin Long-Wear Weightless Foundation SPF 15,brown,black,THANK YOU Bobbi Brown for creating this new foundation.  It performs exactly as described.  This lasts all day and didn't oxidize on me.  I have extremely oily skin and this kept me matte but comfortably moisturized all day.,darkCircles,olive,oily,5,RaziaM
